Time,Fc5,Fc3,Fc1,Fcz,Fc2,Fc4,Fc6,C5,C3,C1,Cz,C2,C4,C6,Cp5,Cp3,Cp1,Cpz,Cp2,Cp4,Cp6,Fp1,Fpz,Fp2,Af7,Af3,Afz,Af4,Af8,F7,F5,F3,F1,Fz,F2,F4,F6,F8,Ft7,Ft8,T7,T8,T9,T10,Tp7,Tp8,P7,P5,P3,P1,Pz,P2,P4,P6,P8,Po7,Po3,Poz,Po4,Po8,O1,Oz,O2,Iz
0.0000,-56.2800,-8.5973,-13.2716,-5.8107,-4.9406,-20.4942,-8.4689,14.0856,-10.8480,-12.1463,-8.4306,-7.2852,9.9249,17.6653,-7.2700,-8.0146,1.0069,-7.9631,-2.8811,6.3872,-13.8018,-10.6518,8.7824,-2.4074,2.0379,13.2348,7.8316,4.3198,2.6593,52.2812,1.8508,-4.0865,-0.6341,-2.4812,-2.8774,-0.7814,27.3813,-10.3259,1.6479,10.2828,-3.8348,18.6866,18.2930,-51.2702,44.6584,7.8808,-4.1907,50.2072,0.9104,-9.0489,0.8122,-1.1319,5.4135,2.4850,-8.9379,-38.5243,-5.4005,1.1098,5.5315,-1.5326,3.5450,7.3825,0.6846,5.6410
6.2500,-61.9262,-6.9533,-9.2180,-5.0736,-4.5737,-14.0956,-15.4267,13.3800,-10.6731,-13.3475,-9.5870,-9.0654,10.3965,22.3713,-10.5723,-10.3104,-2.8239,-8.3077,-4.3155,4.7530,-13.6136,-4.7800,4.9592,-9.5849,-2.0721,24.3376,16.6771,9.5245,5.9081,53.6624,13.8814,9.3339,6.9805,4.0528,1.8733,8.7713,30.7367,-16.7308,1.8008,10.2399,-6.2218,7.0997,17.4510,-41.3543,27.6236,9.9912,-1.5934,42.9256,-4.2457,-11.7157,-1.4551,-2.2320,3.2820,-0.7724,-7.3432,-38.5330,-8.0099,-3.8901,2.0170,3.5228,0.4628,5.3603,-4.0342,1.0759
12.5000,-53.2921,0.8121,-1.0283,-3.3392,-1.7235,-11.8959,-25.6633,20.7225,-5.8797,-10.6480,-8.6258,-10.1301,5.2317,21.6516,-11.4487,-8.5901,-2.7284,-8.3578,-6.6493,0.7260,-5.0197,6.9244,-0.4357,-6.9466,4.0499,25.1027,16.8164,2.3743,25.9315,40.4903,39.3404,21.5031,10.3350,4.7339,0.4923,6.2066,10.7235,-18.3778,2.9183,5.7049,-9.5043,1.4864,12.6196,-38.6151,5.9988,10.1224,-0.2924,40.9327,-6.5753,-14.7195,-2.8475,-4.0928,2.0659,-6.4816,-6.7419,-35.9260,-5.8619,-3.6172,0.5624,-2.4131,-0.6624,4.6822,-6.0688,-6.0617
18.7500,-30.8158,7.7226,5.1242,-2.5169,0.5212,-17.9945,-34.4866,30.7353,0.2129,-6.5147,-6.6307,-9.4128,-2.2208,11.8244,-5.2547,-3.3028,0.6486,-6.9092,-7.3566,-2.1886,4.9006,21.1827,-3.0356,1.2968,21.2425,9.3137,7.8922,-11.1965,40.0198,27.6795,45.7223,21.5914,5.3045,-0.8488,-5.6222,-4.8664,-15.8201,-24.6462,8.6221,-0.2912,-6.6392,3.4825,7.1049,-37.6362,-15.6381,10.1865,-2.1500,45.5034,-4.6149,-13.7380,-0.8300,-3.8783,2.4443,-9.8374,-7.7483,-31.4300,-0.4858,2.8759,2.8489,-8.3370,1.8427,6.9967,-2.1427,-7.8053
25.0000,-9.0783,8.0772,5.5129,-2.5846,0.3553,-27.2818,-37.9570,34.5626,3.3242,-3.3795,-4.7751,-6.8101,-5.2476,0.5304,7.2113,1.3816,3.8303,-3.6222,-5.1062,-1.3522,15.5201,34.5505,-0.4976,7.0517,35.0565,-12.5354,-2.4611,-19.3688,36.0389,21.7380,24.7735,11.2714,-3.6299,-6.8775,-9.7433,-12.0369,-28.0371,-32.8153,15.7057,-4.4562,-1.5566,8.5787,1.2802,-34.4486,-34.7967,10.5054,-7.6417,47.3141,-1.7328,-8.4077,2.8568,-1.0667,3.9425,-7.9500,-8.8442,-27.4427,3.8831,10.5556,6.7475,-5.9050,6.3449,9.9306,4.8554,-3.8408
31.2500,-1.7008,3.5615,1.6725,-2.3495,-1.2651,-29.3990,-35.2078,28.5680,1.6368,-1.9146,-3.1554,-3.8963,-1.1171,-1.0807,18.4027,1.5264,3.6668,-0.0865,-1.4707,2.7381,29.2881,38.3187,4.2349,5.6218,30.0943,-21.8664,-5.9239,-16.8527,22.4366,20.2075,2.8249,3.4058,-7.9762,-7.8330,-7.7397,-8.8445,-21.7216,-31.1229,15.2463,-6.1610,-1.5019,12.9130,-5.8678,-32.3513,-52.3799,10.3220,-14.1281,40.1771,-1.3459,-2.9585,4.4229,2.1756,6.1738,-1.7114,-8.5334,-25.2243,5.2747,13.7840,8.8637,0.3918,9.0623,9.7680,9.0482,-1.1408
37.5000,-9.6497,0.6552,-1.5338,-1.3202,-2.2622,-19.4192,-28.4633,18.2950,-2.2071,-0.8334,-0.8685,-2.5102,6.2696,9.6540,20.0737,-1.6068,1.1105,2.0863,1.4045,8.2151,42.1485,23.9033,5.8495,-1.0572,9.9891,-11.2062,-1.2020,-8.2223,14.0760,19.1986,7.1755,7.1208,-4.8121,-4.6442,-2.8013,-1.4342,-10.5504,-18.5974,2.5094,-6.1226,-5.4581,16.7961,-12.9965,-34.6939,-69.7111,9.9502,-16.8582,30.0613,-2.7510,-1.9316,2.4791,3.3744,8.7903,4.6593,-8.0242,-24.1406,5.3705,11.4144,7.5983,1.2677,7.9364,5.6085,7.3311,-4.4824
43.7500,-20.7939,3.2145,-0.9727,-0.4015,-1.3307,-3.7520,-21.4391,12.0980,-3.9657,1.2035,2.2926,-2.2550,10.9383,24.3766,10.9097,-3.2087,0.0337,2.7756,3.1424,13.6532,43.7984,-4.5359,2.0853,-7.8932,-5.1906,6.9877,5.4795,-0.6219,14.4837,16.0021,32.1769,17.6683,0.3154,-2.9607,-1.1084,1.1016,-7.0230,-11.7044,-16.1659,-3.9317,-5.6897,21.9308,-16.4698,-36.3116,-83.7747,11.1342,-13.7684,26.7718,-2.6826,-5.5119,-0.4255,2.5155,11.0672,7.0507,-9.9229,-23.3295,6.3660,6.9977,4.4007,-3.8487,4.8954,1.0763,2.2747,-10.2276
50.0000,-24.3058,8.1843,1.6572,-0.9099,1.1365,5.4750,-17.0061,11.8551,-2.5290,3.5901,4.7522,-1.1810,11.1243,32.3913,-3.3934,-1.0862,2.2915,2.7996,4.7905,17.8880,29.3645,-26.7477,-3.3900,-11.0036,-1.5836,13.4275,7.5263,3.9016,17.6365,9.8073,47.2333,23.0133,0.8587,-5.3105,-3.8216,-0.8418,-7.2390,-23.2991,-27.4406,1.8493,0.9350,28.0474,-13.8136,-27.7718,-88.7832,14.6982,-8.0391,29.9180,0.1311,-9.9328,-1.1688,1.6918,11.8991,5.0847,-14.7084,-23.3674,7.6017,3.8265,1.6344,-8.3305,1.7609,0.5719,-1.4133,-11.9370
56.2500,-22.3775,10.2655,2.9449,-2.2321,4.2166,2.7090,-14.7621,12.8974,-0.1762,4.6881,4.8839,1.4053,10.0327,29.8982,-14.1772,1.9425,5.5089,2.3978,6.4640,19.0743,7.9816,-22.7336,-4.3681,-9.2572,14.6302,2.8140,4.2735,7.4597,21.6791,4.7294,34.0629,18.4315,-3.1853,-8.2097,-6.7019,0.4065,0.8920,-42.1854,-23.6154,9.8386,8.0826,32.1086,-6.9544,-8.9829,-78.5406,17.1149,-5.0795,28.4115,2.6533,-12.7406,-0.8285,1.0181,9.4930,1.7307,-20.6648,-26.0652,5.9683,1.2855,-1.2210,-8.5367,-1.9472,3.5941,-3.1574,-9.2880
62.5000,-24.4711,8.1704,1.1410,-3.0301,6.4555,-6.8664,-12.8491,10.8055,0.1260,3.3447,2.2540,3.0310,9.7188,19.6027,-14.2051,1.4504,5.4893,0.2683,5.8106,15.0448,-4.4781,4.7019,0.9750,-4.3806,27.0392,-11.3088,0.0895,11.1718,31.1317,9.2653,6.3644,11.1509,-6.4116,-7.1714,-6.3635,7.4483,18.9176,-44.0417,-10.1532,15.3324,9.1167,31.1162,0.2577,7.5031,-52.1799,13.0298,-5.8449,15.4775,1.8105,-14.5553,-2.9630,-1.6031,3.3548,0.8290,-25.6688,-31.0287,1.1316,-2.3970,-5.9173,-7.5826,-7.1638,5.9027,-5.5383,-7.6575
68.7500,-35.9714,4.9464,-2.1591,-2.9061,6.0440,-13.4265,-10.5540,6.6742,-1.6266,0.5517,-1.6767,0.6157,8.6295,6.1512,-3.0385,-2.5390,1.5017,-3.9415,1.2171,6.6215,-1.6699,29.3317,8.3476,-0.2419,27.6595,-12.0652,-0.5594,15.1119,45.3665,26.3848,-8.4676,10.7645,-4.7644,-1.9687,-3.4107,13.7882,35.1066,-22.9712,0.0285,15.5269,6.6116,25.0659,6.7311,9.7591,-20.6247,2.3322,-6.1144,-1.8762,-1.3411,-16.3761,-8.4056,-7.1116,-4.4977,3.3620,-29.3714,-35.1534,-3.1265,-6.7416,-12.2382,-8.1617,-13.0353,4.4364,-9.9548,-10.5793
